Pkey,CSV,SC_ID,Region,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear,Sex
103,20170412.csv,HKSC102706,HK,5,1.633,13.5,-18.6,2.69,10.56,1994,1999,F
104,20170412.csv,HKSC102706,HK,6,1.223,13.3,-18.7,2.7,10.38,1994,2000,F
105,20170412.csv,HKSC102706,HK,7,0.998,13.6,-18.2,2.87,10.64,1994,2001,F
106,20170412.csv,HKSC102706,HK,8,1.082,13.8,-18.6,2.95,10.96,1994,2002,F
107,20170412.csv,HKSC102706,HK,9,1.059,13.7,-18.4,2.92,10.83,1994,2003,F
108,20170412.csv,HKSC102706,HK,10,0.659,13.1,-18.7,3.14,12.08,1994,2004,F
109,20170412.csv,HKSC102706,HK,11,0.76,13.8,-18.8,3.14,11.78,1994,2005,F
110,20170412.csv,HKSC102706,HK,12,0.727,13.6,-18.1,3.18,11.2,1994,2006,F
111,20170412.csv,HKSC102706,HK,13,0.472,13,-18.1,3.19,11.21,1994,2007,F
112,20170412.csv,HKSC143004,HK,1,2.195,19.7,-21.1,2.17,9.26,2012,2013,M
113,20170412.csv,HKSC143004,HK,2,1.277,18.2,-20,2.83,11.02,2012,2014,M
114,20170906.csv,HKSC142408,HK,1,1.12,14.4,-20.3,1.3,6,1992,1993,F
115,20170906.csv,HKSC142408,HK,2,1.01,14.1,-19.9,1.5,6.2,1992,1994,F
116,20170906.csv,HKSC142408,HK,3,1,13,-18.2,1.7,5.9,1992,1995,F
117,20170906.csv,HKSC142408,HK,4,0.8,12.8,-19.3,1.6,6.3,1992,1996,F
118,20170906.csv,HKSC142408,HK,5,0.751,12,-18.5,1.9,7.1,1992,1997,F
119,20170906.csv,HKSC142408,HK,6,0.569,11.3,-17.7,1.9,7,1992,1998,F
120,20170906.csv,HKSC142408,HK,7,0.726,12.1,-18.5,1.4,5.6,1992,1999,F
121,20170906.csv,HKSC142408,HK,8,0.658,11.3,-18.6,1.7,6.6,1992,2000,F
122,20170906.csv,HKSC142408,HK,10,0.82,11.9,-18.4,1.7,6.3,1992,2002,F
123,20170906.csv,HKSC142408,HK,11,0.815,13.1,-19,1.6,6.4,1992,2003,F
124,20170906.csv,HKSC142408,HK,12,0.654,11.8,-18.8,1.5,6.1,1992,2004,F
125,20170906.csv,HKSC142408,HK,13,0.734,12.4,-18.8,1.8,7,1992,2005,F
126,20170906.csv,HKSC142408,HK,14,0.724,12.5,-18.4,1.8,7,1992,2006,F
127,20170906.csv,HKSC142408,HK,15,1.278,13.4,-18.3,1.8,6.9,1992,2007,F
128,20170906.csv,HKSC151601,HK,1,1.848,15.2,-15.6,2,5.5,2000,2001,M
129,20170906.csv,HKSC151601,HK,2,0.98,13.3,-15.8,1.8,4.6,2000,2002,M
130,20170906.csv,HKSC151601,HK,3,1.086,13.2,-15.2,2,5.3,2000,2003,M
131,20170906.csv,HKSC151601,HK,4,1.099,13.6,-17.1,1.6,5.3,2000,2004,M
132,20170906.csv,HKSC151601,HK,5,1.083,13.2,-16.8,2.2,6.7,2000,2005,M
133,20170906.csv,HKSC151601,HK,6,1.384,16.4,-17.4,1.6,6.2,2000,2006,M
134,20170906.csv,HKSC151601,HK,7,1.318,14.2,-18,1.9,6.9,2000,2007,M
135,20170906.csv,HKSC151601,HK,8,1.432,14.3,-19,1.8,7,2000,2008,M
136,20170906.csv,HKSC151601,HK,9,1.197,14.2,-18.4,1.9,6.9,2000,2009,M
137,20170906.csv,HKSC151601,HK,10,0.618,13.4,-17.1,2.4,7.6,2000,2010,M
138,20170906.csv,HKSC151601,HK,11,1.056,13.9,-18,2,7,2000,2011,M
139,20170906.csv,HKSC151601,HK,12,1.274,13.9,-16.3,2,6.4,2000,2012,M
140,20170906.csv,HKSC151601,HK,13,1.614,14,-17.3,2,6.6,2000,2013,M
141,20170908.csv,HKSC101908,HK,1,0.672,13.9,-14.9,2.3,6,1992,1993,M
142,20170908.csv,HKSC101908,HK,2,0.627,11.8,-14.9,2.3,5.8,1992,1994,M
143,20170908.csv,HKSC101908,HK,3,0.729,12.3,-14.5,2.3,6,1992,1995,M
144,20170908.csv,HKSC101908,HK,4,0.803,12.5,-14.6,2.2,5.8,1992,1996,M
145,20170908.csv,HKSC101908,HK,5,0.602,12.3,-14.6,2.3,6,1992,1997,M
146,20170908.csv,HKSC101908,HK,6,0.609,10.4,-14.6,2.7,6.2,1992,1998,M
147,20170908.csv,HKSC101908,HK,7,0.803,13.7,-15.3,2.3,6.2,1992,1999,M
148,20170908.csv,HKSC101908,HK,8,0.667,14.3,-15.5,2.3,6.4,1992,2000,M
149,20170908.csv,HKSC101908,HK,9,0.773,14.5,-15.1,2.3,6.2,1992,2001,M
150,20170908.csv,HKSC101908,HK,10,0.549,14.8,-15.8,2.3,6.4,1992,2002,M
151,20170908.csv,HKSC101908,HK,11,0.483,14.5,-15.8,2.3,6.5,1992,2003,M
152,20170908.csv,HKSC101908,HK,12,0.552,15.4,-16.1,2.4,6.7,1992,2004,M
153,20170908.csv,HKSC101908,HK,13,0.59,15.7,-16.9,2.4,6.6,1992,2005,M
154,20170908.csv,HKSC101908,HK,14,0.542,14,-16.9,2.5,6.9,1992,2006,M
155,20170908.csv,HKSC101908,HK,15,0.609,15.1,-16.5,2.5,7,1992,2007,M
156,20170908.csv,HKSC122410,HK,1,1.04,16.8,-19.4,1.4,6.6,1983,1984,Un
157,20170908.csv,HKSC122410,HK,2,0.565,13.8,-18.2,1.8,7.8,1983,1985,Un
158,20170908.csv,HKSC122410,HK,3,0.536,13.5,-19.1,1.6,8,1983,1986,Un
159,20170908.csv,HKSC122410,HK,4,0.546,13.6,-16.9,1.6,6.6,1983,1987,Un
160,20170908.csv,HKSC122410,HK,5,0.529,13.2,-17.6,1.7,7.5,1983,1988,Un
161,20170908.csv,HKSC122410,HK,6,1.09,14.6,-18.2,1.5,7,1983,1989,Un
162,20170908.csv,HKSC122410,HK,15,0.513,12.6,-15.6,1.7,4.7,1983,1998,Un
163,20170908.csv,HKSC122410,HK,16,0.518,13.1,-14.8,2.1,5.3,1983,1999,Un
164,20170908.csv,HKSC122410,HK,17,0.452,12.2,-14.8,2,5.2,1983,2000,Un
165,20170908.csv,HKSC131708,HK,1,0.942,16.2,-17,1.8,6.8,1999,2000,F
166,20170908.csv,HKSC131708,HK,2,0.564,13.2,-16.6,2.1,7.4,1999,2001,F
167,20170908.csv,HKSC131708,HK,3,0.543,13.3,-17.3,1.9,7.5,1999,2002,F
168,20170908.csv,HKSC131708,HK,4,0.523,11.9,-17.4,1.9,7.1,1999,2003,F
169,20170908.csv,HKSC131708,HK,5,0.608,13.3,-16.6,1.9,6.9,1999,2004,F
170,20170908.csv,HKSC131708,HK,6,0.673,13.8,-16.7,1.9,7.2,1999,2005,F
171,20170908.csv,HKSC131708,HK,7,0.626,9,-12.9,2.2,6.1,1999,2006,F
172,20170908.csv,HKSC131708,HK,8,1.1,13.8,-12.9,2.4,6.7,1999,2007,F
173,20170908.csv,HKSC131708,HK,10,0.954,13.9,-13.3,2.5,7.2,1999,2009,F
174,20170908.csv,HKSC131708,HK,12,0.513,14.1,-15.7,2.1,8.4,1999,2011,F
175,20170908.csv,HKSC141008,HK,1,1.028,16.5,-19.3,1.8,7.7,1983,1984,F
176,20170908.csv,HKSC141008,HK,2,0.714,14.5,-19.1,1.9,7.7,1983,1985,F
177,20170908.csv,HKSC141008,HK,3,0.817,14.6,-18.2,1.8,7,1983,1986,F
178,20170908.csv,HKSC141008,HK,4,0.848,13.3,-18.7,1.9,7.4,1983,1987,F
179,20170908.csv,HKSC141008,HK,5,0.813,13.2,-17.5,1.8,7.3,1983,1988,F
180,20170908.csv,HKSC141008,HK,6,0.902,13,-17.7,1.9,7.7,1983,1989,F
181,20170908.csv,HKSC141008,HK,7,0.846,13,-17.7,2,7.5,1983,1990,F
182,20170908.csv,HKSC141008,HK,8,0.645,12.8,-16.8,2,7.1,1983,1991,F
183,20170908.csv,HKSC141008,HK,9,0.712,13.2,-17.2,2,7.6,1983,1992,F
184,20170908.csv,HKSC141008,HK,10,0.674,13.1,-17.1,2.1,7.7,1983,1993,F
185,20170908.csv,HKSC141008,HK,11,0.804,13.5,-7.8,1.9,7.6,1983,1994,F
186,20170908.csv,HKSC141008,HK,12,0.807,13.3,-17.6,2,7.8,1983,1995,F
187,20170908.csv,HKSC141008,HK,13,0.831,12.9,-17.5,1.9,7.6,1983,1996,F
188,20170908.csv,HKSC141008,HK,14,0.508,12.6,-16.5,2,7.1,1983,1997,F
189,20170908.csv,HKSC141008,HK,15,0.856,12.7,-14.8,2.3,6.6,1983,1998,F
190,20170908.csv,HKSC150505,HK,1,1.044,16.6,-16.4,2.2,6.2,1997,1998,M
191,20170908.csv,HKSC150505,HK,2,0.879,14.3,-16.8,2.3,6.1,1997,1999,M
192,20170908.csv,HKSC150505,HK,3,0.237,11.4,-18.5,1.9,6,1997,2000,M
193,20170908.csv,HKSC150505,HK,4,0.555,12.9,-16.4,2,5.7,1997,2001,M
194,20170908.csv,HKSC150505,HK,5,0.381,12.4,-18.4,2,5.9,1997,2002,M
195,20170908.csv,HKSC150505,HK,6,1.284,13.8,-18,2.1,5.9,1997,2003,M
196,20170908.csv,HKSC150505,HK,7,0.609,12.9,-17.3,2.1,6.1,1997,2004,M
197,20170908.csv,HKSC150505,HK,8,0.725,12.6,-17.9,2.2,6.1,1997,2005,M
198,20170908.csv,HKSC150505,HK,9,0.773,13.1,-17.8,2.3,6.4,1997,2006,M
199,20170908.csv,HKSC162306B,HK,1,2.172,16.8,-15,1.8,4.7,2006,2007,M
200,20170908.csv,HKSC162306B,HK,2,1.812,14.3,-14.9,2.1,5.3,2006,2008,M
201,20170908.csv,HKSC162306B,HK,3,1.674,14,-15.1,2.4,6,2006,2009,M
202,20170908.csv,HKSC162306B,HK,4,0.981,13.6,-15.5,2.2,5.7,2006,2010,M
203,20170908.csv,HKSC162306B,HK,5,1.331,14.7,-14.9,1.9,5.1,2006,2011,M
204,20170908.csv,HKSC162306B,HK,6,1.018,14.7,-14.8,2.4,6.3,2006,2012,M
205,20170908.csv,HKSC162306B,HK,7,0.902,14.4,-15.4,2.5,6.3,2006,2013,M
206,20170908.csv,HKSC162306B,HK,8,0.915,14.2,-15,2.1,5.5,2006,2014,M
207,20170908.csv,HKSC162306B,HK,9,0.883,13.6,-14.4,2.1,5.5,2006,2015,M
208,20171006.csv,HKSC111706,HK,1,0.926,14.5,-18.3,1.3,5,1990,1991,M
209,20171006.csv,HKSC111706,HK,2,0.73,13.3,-17.8,1.4,5.4,1990,1992,M
210,20171006.csv,HKSC111706,HK,3,0.88,12.9,-19.3,1.4,5.8,1990,1993,M
211,20171006.csv,HKSC111706,HK,4,0.527,12.4,-16.4,1.6,6.3,1990,1994,M
212,20171006.csv,HKSC111706,HK,6,0.69,13.2,-17.5,1.4,5.6,1990,1996,M
213,20171006.csv,HKSC111706,HK,8,0.907,15.3,-18.1,1.6,6,1990,1998,M
214,20171006.csv,HKSC111706,HK,10,1.037,14.5,-19,1.5,6,1990,2000,M
215,20171006.csv,HKSC111706,HK,11,0.784,14.1,-19.5,1.5,6.2,1990,2001,M
216,20171006.csv,HKSC111706,HK,12,0.778,12.8,-19.7,1.5,6.3,1990,2002,M
217,20171006.csv,HKSC111706,HK,13,0.687,12.7,-19.1,1.5,5.9,1990,2003,M
218,20171006.csv,HKSC111706,HK,14,0.617,13.1,-19.2,1.4,5.5,1990,2004,M
219,20171006.csv,HKSC111706,HK,15,1.154,14.4,-18.2,1.6,6.3,1990,2005,M
220,20171006.csv,HKSC120907,HK,1,1.863,15.8,-17.4,0.7,2.6,1986,1987,Un
221,20171006.csv,HKSC120907,HK,2,1.052,15.1,-16.4,1.5,5.4,1986,1988,Un
222,20171006.csv,HKSC120907,HK,3,0.629,15,-17.1,3.1,11.9,1986,1989,Un
223,20171006.csv,HKSC120907,HK,4,1.379,13.8,-17.9,0.8,3.3,1986,1990,Un
224,20171006.csv,HKSC120907,HK,5,0.386,13.1,-18.9,3.1,13.9,1986,1991,Un
225,20171006.csv,HKSC120907,HK,6,0.955,12.5,-18.9,0.8,3.9,1986,1992,Un
226,20171006.csv,HKSC120907,HK,7,0.92,13,-17.9,1.1,4.6,1986,1993,Un
227,20171006.csv,HKSC120907,HK,8,0.627,12.6,-16.8,1.2,5,1986,1994,Un
228,20171006.csv,HKSC120907,HK,9,0.487,13.3,-16.2,1.3,5.7,1986,1995,Un
229,20171006.csv,HKSC151608,HK,1,2.085,16.3,-13.5,1.6,4.9,1995,1996,F
230,20171006.csv,HKSC151608,HK,2,1.021,14.4,-19,1.5,7,1995,1997,F
231,20171006.csv,HKSC151608,HK,3,0.762,13.4,-18.7,1.4,6.1,1995,1998,F
232,20171006.csv,HKSC151608,HK,4,0.401,9.9,-17.4,1.5,6.4,1995,1999,F
233,20171006.csv,HKSC151608,HK,5,0.993,13.8,-17.7,1.5,6,1995,2000,F
234,20171006.csv,HKSC151608,HK,6,0.925,13.5,-18.4,1.5,6.4,1995,2001,F
235,20171006.csv,HKSC151608,HK,7,1.09,14.6,-18.2,1.6,6.6,1995,2002,F
236,20171006.csv,HKSC151608,HK,11,0.675,13.3,-18.3,1.5,6.4,1995,2006,F
237,20171006.csv,HKSC151608,HK,12,0.64,13.7,-18.2,1.5,6.5,1995,2007,F
238,20171009.csv,HKSC111706,HK,4,0.527,12.4,-16.4,1.58,6.32,1990,1994,M
239,20171009.csv,HKSC111706,HK,6,0.69,13.2,-17.5,1.36,5.59,1990,1996,M
240,20171009.csv,HKSC111706,HK,8,0.907,15.3,-18.1,1.57,5.97,1990,1998,M
241,20171009.csv,HKSC111706,HK,15,1.154,14.4,-18.2,1.58,6.29,1990,2005,M
254,20171009.csv,HKSC142409,HK,1,1.106,16.4,-17.2,1.2,5.7,1996,1997,F
255,20171009.csv,HKSC142409,HK,2,1.016,16.6,-17.6,1.4,6.4,1996,1998,F
256,20171009.csv,HKSC142409,HK,3,0.878,14.7,-19.5,1.4,6.5,1996,1999,F
257,20171009.csv,HKSC142409,HK,4,0.839,15.1,-19,1.5,6.6,1996,2000,F
258,20171009.csv,HKSC142409,HK,5,0.9,14.6,-19.3,1.4,6.6,1996,2001,F
259,20171009.csv,HKSC142409,HK,6,1.03,13.6,-18.4,1.5,6.5,1996,2002,F
260,20171009.csv,HKSC142409,HK,7,0.884,14,-17.8,1.6,7,1996,2003,F
261,20171009.csv,HKSC142409,HK,8,0.798,14.4,-19.2,1.3,6.6,1996,2004,F
263,20171009.csv,HKSC142409,HK,10,0.72,14.4,-17.4,1.4,6.1,1996,2006,F
264,20171009.csv,HKSC142409,HK,11,0.535,12.9,-18,1.2,5.4,1996,2007,F
265,20171009.csv,HKSC142409,HK,12,0.639,14.4,-17.3,1.4,6.1,1996,2008,F
266,20171009.csv,HKSC152403,HK,1,1.633,17,-19.3,1.13,5.4,2003,2004,F
267,20171009.csv,HKSC152403,HK,2,0.855,16.3,-18.8,1.57,6.92,2003,2005,F
268,20171009.csv,HKSC152403,HK,3,0.643,15.5,-18.2,1.64,6.7,2003,2006,F
269,20171009.csv,HKSC152403,HK,4,0.646,14.1,-18.9,1.59,6.99,2003,2007,F
270,20171009.csv,HKSC152403,HK,5,0.875,15.6,-17.5,1.6,7.1,2003,2008,F
271,20171009.csv,HKSC152403,HK,7,0.471,14.7,-16.8,1.7,6.9,2003,2010,F
272,20180905.csv,JMSC170512,NA,1,0.987,16.1,-14.5,2.8,7.6,2007,2008,Un
273,20180905.csv,JMSC170512,NA,2,0.807,14.2,-15.5,2.8,7.7,2007,2009,Un
274,20180905.csv,JMSC170512,NA,4,0.779,15.7,-11.4,3.3,8.7,2007,2011,Un
275,20180905.csv,JMSC170512,NA,5,0.643,14.2,-14,3,8.6,2007,2012,Un
276,20180905.csv,JMSC170512,NA,7,0.451,12.4,-14.3,2.9,8.1,2007,2014,Un
277,20180906.csv,JMSC170512,NA,8,0.527,11.8,-14.8,2.9,8.2,2007,2015,Un
278,20180906.csv,JMSC170512,NA,9,0.448,10.7,-15.1,2.9,8.4,2007,2016,Un
279,20180906.csv,JMSC170512,NA,10,0.533,10.8,-15.6,2.8,8,2007,2017,Un
280,20180906.csv,HKSC162306A,HK,1,1.294,15.3,-13.1,3,8.9,2015,2016,M
281,20180906.csv,JMSC170219,WPRE,1,2.362,17,-14.7,2.1,5.9,2005,2006,M
282,20180906.csv,JMSC170219,WPRE,2,1.911,16.1,-15,2.1,5.9,2005,2007,M
283,20180906.csv,JMSC170219,WPRE,3,1.822,15.6,-14.9,2.2,6.3,2005,2008,M
284,20180906.csv,JMSC170219,WPRE,4,1.537,14.8,-14.9,2.3,6.5,2005,2009,M
285,20180906.csv,JMSC170219,WPRE,5,1.355,14.1,-15,2.3,6.5,2005,2010,M
286,20180906.csv,JMSC170219,WPRE,6,0.675,13.9,-14.5,3,8.5,2005,2011,M
287,20180906.csv,JMSC170219,WPRE,7,0.876,13.6,-14.5,2.9,8.1,2005,2012,M
288,20180906.csv,JMSC170219,WPRE,9,0.668,13.1,-14.8,2.8,7.9,2005,2014,M
289,20180906.csv,JMSC170219,WPRE,10,0.612,13.3,-14.8,2.8,7.7,2005,2015,M
290,20180906.csv,JMSC170219,WPRE,11,0.735,11.9,-14.5,3.2,8.2,2005,2016,M
291,20180906.csv,JMSC170515,WPRE,1,0.532,13.5,-12.8,2.3,6.3,2016,2017,M
292,20180906.csv,JMSC170920,MPRE,1,1.291,13.8,-14.1,1.3,3.8,2000,2001,F
